Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
7.7918	66.566	0.18943	7.7918	50.628	0.28287
7.847	66.564	0.19031	7.847	50.601	0.28181
7.9023	66.602	0.19057	7.9023	50.645	0.28003
7.9576	66.625	0.19049	7.9576	50.648	0.27992
8.0128	66.652	0.19028	8.0128	50.713	0.28017
8.0681	66.653	0.19107	8.0681	50.672	0.2784
8.1233	66.728	0.191	8.1233	50.705	0.27791
8.1786	66.758	0.19097	8.1786	50.744	0.27707
8.2339	66.771	0.19074	8.2339	50.808	0.2784
8.2891	66.764	0.19124	8.2891	50.773	0.27746
8.3444	66.817	0.19103	8.3444	50.779	0.27691
8.3996	66.863	0.19106	8.3996	50.806	0.27679
8.4549	66.899	0.19117	8.4549	50.843	0.27665
8.5102	66.929	0.19114	8.5102	50.853	0.27602
8.5654	66.937	0.19136	8.5654	50.87	0.27533
8.6207	66.961	0.19161	8.6207	50.863	0.27381
8.676	67.009	0.19207	8.676	50.865	0.27355
8.7312	67.007	0.19235	8.7312	50.863	0.27236
8.7865	67.057	0.19222	8.7865	50.893	0.27318
8.8417	67.071	0.19216	8.8417	50.896	0.2735
8.897	67.113	0.19291	8.897	50.881	0.27388
8.9523	67.083	0.19257	8.9523	50.829	0.27458
9.0075	67.045	0.19157	9.0075	50.837	0.27569
9.0628	67.032	0.19197	9.0628	50.802	0.27463
9.118	67.101	0.19141	9.118	50.905	0.27488
9.1733	67.092	0.19179	9.1733	50.994	0.27359
9.2286	67.075	0.19273	9.2286	50.97	0.27402
9.2838	67.118	0.19258	9.2838	50.985	0.27415
9.3391	67.177	0.19286	9.3391	50.982	0.27404
9.3943	67.207	0.19293	9.3943	51.036	0.27336
9.4496	67.187	0.19317	9.4496	51.027	0.2751
9.5049	67.182	0.19355	9.5049	50.981	0.27515
9.5601	67.232	0.19343	9.5601	51.013	0.27549
9.6154	67.245	0.19366	9.6154	50.983	0.275
9.6706	67.258	0.19329	9.6706	50.973	0.27538
9.7259	67.288	0.19336	9.7259	50.91	0.27474
9.7812	67.299	0.19282	9.7812	50.927	0.27544
9.8364	67.322	0.19298	9.8364	50.915	0.27488
9.8917	67.345	0.19263	9.8917	50.926	0.27434
9.9469	67.383	0.19241	9.9469	50.932	0.27429
10.002	67.382	0.19237	10.002	50.963	0.27327
10.057	67.392	0.19263	10.057	50.969	0.27329
10.113	67.408	0.19232	10.113	50.973	0.27413
10.168	67.43	0.19303	10.168	50.966	0.27335
10.223	67.426	0.19277	10.223	50.961	0.27282
10.279	67.441	0.19307	10.279	50.97	0.27273
10.334	67.436	0.19342	10.334	50.956	0.27226
10.389	67.465	0.19351	10.389	50.942	0.27214
10.444	67.491	0.19297	10.444	50.936	0.27177
10.5	67.516	0.19336	10.5	50.958	0.27167
10.555	67.529	0.19318	10.555	50.972	0.27055
10.61	67.553	0.19318	10.61	50.978	0.27015
10.665	67.592	0.19308	10.665	50.981	0.26943
10.721	67.603	0.19311	10.721	50.998	0.26941
10.776	67.627	0.19318	10.776	50.978	0.26863
10.831	67.639	0.19327	10.831	50.978	0.26843
10.886	67.675	0.1935	10.886	50.985	0.26842
10.942	67.716	0.19339	10.942	51.018	0.2682
10.997	67.7	0.19361	10.997	50.995	0.26825
11.052	67.706	0.19383	11.052	50.973	0.26716
11.107	67.744	0.1934	11.107	51.003	0.26761
11.163	67.811	0.19345	11.163	51.019	0.2673
11.218	67.812	0.19387	11.218	51.033	0.26665
11.273	67.846	0.1942	11.273	51.079	0.26668
11.328	67.901	0.1942	11.328	51.1	0.26658
11.384	67.897	0.19535	11.384	51.104	0.26763
11.439	67.913	0.19513	11.439	51.079	0.26719
11.494	67.975	0.19488	11.494	51.097	0.26715
11.55	67.974	0.19474	11.55	51.11	0.26637
11.605	67.97	0.1949	11.605	51.122	0.26632
11.66	67.985	0.19523	11.66	51.123	0.2644
11.715	68	0.19562	11.715	51.108	0.26336
11.771	68.019	0.19558	11.771	51.065	0.26225
11.826	68.049	0.19539	11.826	51.102	0.26318
11.881	68.071	0.19579	11.881	51.072	0.26128
11.936	68.068	0.19599	11.936	51.084	0.26079
11.992	68.106	0.19562	11.992	51.069	0.26009
12.047	68.139	0.19555	12.047	51.112	0.25974
12.102	68.112	0.19555	12.102	51.11	0.25924
12.157	68.159	0.19567	12.157	51.13	0.25892
12.213	68.191	0.19582	12.213	51.136	0.25819
12.268	68.182	0.19592	12.268	51.169	0.25858
12.323	68.217	0.19617	12.323	51.172	0.25851
12.378	68.223	0.19594	12.378	51.152	0.25922
12.434	68.253	0.19615	12.434	51.165	0.25853
12.489	68.235	0.19637	12.489	51.135	0.25726
12.544	68.265	0.19634	12.544	51.17	0.25716
12.599	68.257	0.19663	12.599	51.175	0.25734
12.655	68.259	0.19704	12.655	51.187	0.25651
12.71	68.268	0.19672	12.71	51.193	0.25634
12.765	68.267	0.19689	12.765	51.214	0.25645
12.821	68.265	0.19732	12.821	51.204	0.25752
12.876	68.277	0.197	12.876	51.214	0.25584
12.931	68.322	0.1971	12.931	51.225	0.25661
12.986	68.311	0.19757	12.986	51.24	0.25544
13.042	68.337	0.1975	13.042	51.229	0.25587
13.097	68.34	0.19762	13.097	51.22	0.25523
13.152	68.348	0.1974	13.152	51.219	0.25554
13.207	68.353	0.1974	13.207	51.206	0.25574
13.263	68.405	0.19715	13.263	51.191	0.25523
13.318	68.385	0.19695	13.318	51.216	0.25585
13.373	68.34	0.19711	13.373	51.194	0.25562
13.428	68.341	0.19693	13.428	51.206	0.25528
13.484	68.326	0.19689	13.484	51.231	0.25604
13.539	68.347	0.19705	13.539	51.223	0.25546
13.594	68.351	0.19708	13.594	51.25	0.25583
13.649	68.406	0.19696	13.649	51.273	0.25592
13.705	68.412	0.19721	13.705	51.286	0.25592
13.76	68.427	0.19731	13.76	51.315	0.25633
13.815	68.426	0.19733	13.815	51.309	0.25581
13.87	68.443	0.19757	13.87	51.346	0.25633
13.926	68.47	0.19767	13.926	51.355	0.25632
13.981	68.531	0.19797	13.981	51.371	0.25613
14.036	68.576	0.19829	14.036	51.391	0.2565
14.092	68.566	0.19849	14.092	51.372	0.25587
14.147	68.582	0.19837	14.147	51.376	0.2568
14.202	68.632	0.19832	14.202	51.377	0.25627
14.257	68.609	0.19849	14.257	51.388	0.25587
14.313	68.638	0.1987	14.313	51.403	0.25601
14.368	68.634	0.19872	14.368	51.428	0.25522
14.423	68.65	0.1987	14.423	51.441	0.25521
14.478	68.652	0.19901	14.478	51.451	0.25474
14.534	68.678	0.19857	14.534	51.469	0.25595
14.589	68.69	0.19896	14.589	51.457	0.25514
14.644	68.698	0.19897	14.644	51.445	0.25613
14.699	68.753	0.19883	14.699	51.47	0.25585
14.755	68.753	0.19935	14.755	51.481	0.25516
14.81	68.736	0.1991	14.81	51.499	0.2558
14.865	68.788	0.19952	14.865	51.523	0.25497
14.92	68.778	0.19959	14.92	51.505	0.25472
14.976	68.807	0.19998	14.976	51.519	0.25496
15.031	68.84	0.19963	15.031	51.517	0.25572
15.086	68.893	0.1998	15.086	51.547	0.25448
15.141	68.86	0.19947	15.141	51.523	0.25592
15.197	68.869	0.19935	15.197	51.538	0.25495
15.252	68.857	0.19997	15.252	51.537	0.25361
15.307	68.811	0.20025	15.307	51.532	0.25252
15.363	68.797	0.20014	15.363	51.521	0.25278
15.418	68.785	0.20026	15.418	51.523	0.253
15.473	68.823	0.20035	15.473	51.522	0.2527
15.528	68.808	0.20066	15.528	51.538	0.25246
15.584	68.821	0.20097	15.584	51.53	0.25316
15.639	68.839	0.20065	15.639	51.552	0.25364
15.694	68.914	0.20081	15.694	51.568	0.25311
15.749	68.912	0.20116	15.749	51.586	0.25372
15.805	68.943	0.20079	15.805	51.608	0.25417
15.86	68.97	0.20124	15.86	51.599	0.2544
15.915	68.93	0.20121	15.915	51.609	0.25348
15.97	68.989	0.20102	15.97	51.628	0.25578
16.026	69.012	0.20126	16.026	51.637	0.25535
16.081	68.993	0.2014	16.081	51.659	0.25467
16.136	69.028	0.2014	16.136	51.688	0.2551
16.191	69.024	0.20196	16.191	51.684	0.25509
16.247	69.082	0.20162	16.247	51.685	0.25485
16.302	69.066	0.20204	16.302	51.683	0.25535
16.357	69.091	0.20189	16.357	51.678	0.25475
16.412	69.112	0.20193	16.412	51.663	0.25492
16.468	69.022	0.20144	16.468	51.63	0.25383
16.523	69.01	0.2015	16.523	51.644	0.25495
16.578	68.979	0.20162	16.578	51.603	0.25398
16.634	68.994	0.20146	16.634	51.617	0.25439
16.689	68.964	0.20173	16.689	51.603	0.25395
16.744	68.999	0.20135	16.744	51.618	0.25465
16.799	68.995	0.20169	16.799	51.615	0.2539
16.855	69.001	0.20176	16.855	51.643	0.25378
16.91	69.009	0.20171	16.91	51.666	0.25423
16.965	68.995	0.20209	16.965	51.667	0.25304
17.02	69.012	0.20203	17.02	51.682	0.25335
17.076	69.059	0.2021	17.076	51.724	0.25333
17.131	69.09	0.2023	17.131	51.739	0.25377
17.186	69.091	0.20239	17.186	51.775	0.25303
17.241	69.082	0.20261	17.241	51.752	0.25402
17.297	69.145	0.20278	17.297	51.783	0.25396
17.352	69.163	0.20296	17.352	51.802	0.25306
17.407	69.161	0.20338	17.407	51.798	0.25406
17.462	69.224	0.20362	17.462	51.828	0.25388
17.518	69.24	0.20343	17.518	51.848	0.25279
17.573	69.179	0.2036	17.573	51.854	0.25231
17.628	69.126	0.20375	17.628	51.851	0.25273
17.683	69.158	0.20361	17.683	51.868	0.25219
17.739	69.121	0.20352	17.739	51.871	0.25178
17.794	69.128	0.20396	17.794	51.856	0.2514
17.849	69.149	0.20358	17.849	51.855	0.25162
17.905	69.179	0.20351	17.905	51.858	0.25195
17.96	69.159	0.20336	17.96	51.853	0.25223
18.015	69.1	0.20338	18.015	51.817	0.25123
18.07	69.069	0.20356	18.07	51.784	0.25191
18.126	69.098	0.20329	18.126	51.785	0.2526
18.181	69.09	0.20287	18.181	51.812	0.25283
18.236	69.162	0.2028	18.236	51.841	0.2534
18.291	69.173	0.203	18.291	51.85	0.25278
18.347	69.199	0.20305	18.347	51.845	0.2529
18.402	69.213	0.2027	18.402	51.824	0.25315
18.457	69.234	0.20262	18.457	51.818	0.25294
18.512	69.212	0.20291	18.512	51.808	0.25314
18.568	69.263	0.20292	18.568	51.814	0.2531
18.623	69.236	0.20281	18.623	51.811	0.25218
18.678	69.17	0.20258	18.678	51.812	0.25189
18.733	69.132	0.20285	18.733	51.772	0.2507
18.789	69.138	0.20303	18.789	51.764	0.24953
18.844	69.185	0.20284	18.844	51.786	0.25107
18.899	69.217	0.20329	18.899	51.834	0.24986
18.954	69.208	0.20358	18.954	51.84	0.24969
19.01	69.235	0.20365	19.01	51.876	0.24958
19.065	69.228	0.20388	19.065	51.878	0.24998
19.12	69.197	0.2041	19.12	51.882	0.24968
19.176	69.29	0.20392	19.176	51.872	0.25052
19.231	69.246	0.20434	19.231	51.839	0.24966
19.286	69.33	0.20413	19.286	51.847	0.25045
19.341	69.317	0.20403	19.341	51.85	0.25018
19.397	69.328	0.20414	19.397	51.84	0.2499
19.452	69.294	0.20415	19.452	51.806	0.24973
19.507	69.336	0.20418	19.507	51.815	0.24973
19.562	69.31	0.20414	19.562	51.819	0.24906
19.618	69.315	0.20449	19.618	51.799	0.24961
19.673	69.311	0.20452	19.673	51.804	0.24813
19.728	69.303	0.20472	19.728	51.799	0.24798
19.783	69.314	0.20479	19.783	51.803	0.24847
19.839	69.334	0.20487	19.839	51.797	0.24876
19.894	69.321	0.20461	19.894	51.781	0.24855
19.949	69.383	0.20424	19.949	51.791	0.24934
20.004	69.378	0.20455	20.004	51.787	0.24843
20.06	69.404	0.20449	20.06	51.769	0.24931
20.115	69.425	0.2045	20.115	51.766	0.24955
20.17	69.431	0.20414	20.17	51.75	0.25021
20.225	69.47	0.20385	20.225	51.773	0.24948
20.281	69.443	0.20362	20.281	51.794	0.24971
20.336	69.414	0.20329	20.336	51.806	0.25111
20.391	69.402	0.20343	20.391	51.829	0.25031
20.447	69.387	0.2035	20.447	51.836	0.24994
20.502	69.35	0.20399	20.502	51.788	0.24928
20.557	69.371	0.20348	20.557	51.778	0.24959
20.612	69.411	0.20306	20.612	51.801	0.25083
20.668	69.392	0.2028	20.668	51.779	0.24978
20.723	69.425	0.20261	20.723	51.761	0.25104
20.778	69.426	0.20265	20.778	51.76	0.25029
20.833	69.426	0.20262	20.833	51.764	0.25013
20.889	69.435	0.20269	20.889	51.762	0.25002
20.944	69.414	0.20229	20.944	51.75	0.25007
20.999	69.439	0.20276	20.999	51.749	0.25065
21.054	69.445	0.2022	21.054	51.748	0.25184
21.11	69.491	0.2027	21.11	51.746	0.25109
21.165	69.465	0.20279	21.165	51.756	0.25108
21.22	69.458	0.20267	21.22	51.725	0.25094
21.275	69.466	0.20227	21.275	51.709	0.25126
21.331	69.455	0.20234	21.331	51.708	0.25192
21.386	69.461	0.20225	21.386	51.737	0.2527
21.441	69.483	0.20212	21.441	51.752	0.25272
21.496	69.45	0.20211	21.496	51.727	0.25248
21.552	69.46	0.20214	21.552	51.694	0.25196
21.607	69.455	0.20172	21.607	51.672	0.25138
21.662	69.444	0.20147	21.662	51.693	0.25259
21.718	69.428	0.20129	21.718	51.699	0.25419
21.773	69.459	0.20188	21.773	51.685	0.25319
21.828	69.414	0.20166	21.828	51.629	0.25277
